route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4703_101193,7778021,236T,Scoil Oilibheir - Tyrrelstown,,3,,,
4703_101194,7778021,270T,Castaheany Estate - Castleknock Community College,,3,,,
4703_101196,7778021,L26,Blackrock Station - Kilternan Village,,3,,,
4703_101197,7778021,L27,Dun Laoghaire Stn - Leopardstown Valley,,3,,,
4710_102330,7778020,2,Dublin Airport - Gorey - Wexford,,3,,,
4710_102331,7778020,4,Dublin Airport - Waterford,,3,,,
4710_102334,7778020,22,Dublin - Airport - Longford - Ballina,,3,,,
4710_102335,7778020,23,Dublin - Airport - Longford - Sligo,,3,,,
4710_102336,7778020,30,Dublin - Airport - Cavan - Donegal,,3,,,
4710_102337,7778020,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
4710_102348,7778020,101,Dublin - Airport - Drogheda,,3,,,
4710_102349,7778020,103,Dublin - Ashbourne - Ratoath,,3,,,
4710_102350,7778020,B1,Rail Station - Millfield Centre,,3,,,
4710_102351,7778020,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
4710_102354,7778020,109,Dublin - Navan - Kells - Cavan,,3,,,
4710_102355,7778020,111,Wilton Tce - Trim - Granard - Cavan,,3,,,
4710_102356,7778020,115,Dublin - Mullingar,,3,,,
4710_102358,7778020,132,Dublin - Carnew - Bunclody,,3,,,
4710_102359,7778020,133,Dublin - Wicklow,,3,,,
4710_102508,7778020,100X,Wilton Tce - Airport - Dundalk,,3,,,
4710_102509,7778020,109A,DCU - Airport - Ratoath - Navan,,3,,,
4710_102510,7778020,115C,Enfield - Killucan - Mullingar,,3,,,
4710_102538,7778020,103X,Dublin - Ashbourne - Duleek - Navan,,3,,,
4710_102539,7778020,105X,UCD - M3 - Ratoath - Ashbourne,,3,,,
4710_102542,7778020,101X,Wilton Tce - Drogheda - Termon Abbey,,3,,,
4710_102543,7778020,109B,Dublin - Dunshaughlin - Trim,,3,,,
4710_102544,7778020,245X,Busaras - Fermoy - Cork,,3,,,
4710_102545,7778020,109X,Dublin - Kells - Cavan Hourly Express,,3,,,
4710_102547,7778020,111X,Dublin express - Athboy - Clonmellon,,3,,,
4710_102553,7778020,NX,Dublin Wilton Terrace - Navan,,3,,,
4713_102643,7778312,SD3,Tallaght Luas - Ballinascorney,,3,,,
4713_102644,7778312,SD4,Tallaght Luas - Tibradden,,3,,,
4716_102658,7778170,192,Swords - Balbriggan,,3,,,
4716_102659,7778170,195,"Balbriggan, Bus Stop at Train Station - Garda Station",,3,,,
4716_102660,7778170,196,Knocksedan - Swords,,3,,,
