service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
368,0,0,0,0,0,0,1,20250706,20251207
369,1,1,1,1,1,0,0,20250701,20251212
370,1,1,1,1,1,1,0,20250701,20251213
371,1,1,1,1,1,1,0,20250701,20251213
372,1,1,1,1,1,1,0,20250701,20251213
373,0,0,0,0,0,1,0,20250705,20251213
374,1,1,1,1,0,1,0,20250701,20251213
375,1,1,1,1,1,1,0,20250704,20251213
376,0,1,1,1,0,0,0,20250701,20250703
377,1,0,1,1,0,0,0,20250707,20250710
378,0,1,0,0,0,0,0,20250708,20250708
379,1,1,1,1,1,1,0,20250701,20251213
380,1,1,1,1,1,1,0,20250701,20251213
381,1,1,1,1,1,1,0,20250701,20251213
382,1,1,1,1,0,1,0,20250701,20251213
383,1,1,1,1,0,0,0,20250701,20251211
384,0,0,0,0,0,1,0,20250719,20251213
385,1,1,1,1,1,0,0,20250701,20251212
386,0,0,0,0,0,0,0,20250716,20250716
387,1,1,1,1,0,1,0,20250701,20251213
388,1,1,1,1,1,1,0,20250704,20251213
389,1,1,1,1,0,0,0,20250701,20251211
390,1,1,1,1,1,1,0,20250701,20251213
391,1,1,1,1,1,1,0,20250701,20251213
392,1,1,1,1,1,1,0,20250701,20251213
393,1,1,1,1,1,1,0,20250704,20251213
394,1,1,1,1,1,1,0,20250704,20251213
395,0,0,0,0,0,0,1,20250706,20251207
396,1,0,0,0,0,0,0,20250707,20251208
397,1,1,1,1,1,1,0,20250701,20251213
398,0,0,0,0,0,0,1,20250713,20251207
399,1,1,1,1,1,1,0,20250701,20251213
400,0,0,0,0,1,1,0,20250704,20251213
401,1,1,1,1,0,1,0,20250701,20251213
402,1,1,1,1,1,1,0,20250701,20251213
403,0,0,0,1,1,1,0,20250703,20251213
404,0,1,1,0,0,0,0,20250701,20250702
405,1,0,1,0,0,0,0,20250707,20250709
406,0,0,0,0,0,0,0,20250714,20250716
407,0,0,0,0,0,0,0,20250728,20250730
408,0,0,0,0,0,0,0,20250721,20250723
409,0,0,0,0,0,0,0,20250805,20250806
410,0,0,0,0,0,0,0,20250811,20250813
411,0,0,0,0,0,0,0,20250818,20250820
412,0,0,0,0,0,0,0,20250825,20250827
413,0,0,0,0,0,0,0,20250901,20250903
414,0,0,0,0,0,0,0,20250908,20250910
415,0,0,0,0,0,0,0,20250915,20250917
416,0,0,0,0,0,0,0,20250922,20250924
417,0,0,0,0,0,0,0,20250929,20251001
418,0,0,0,0,0,0,0,20251006,20251008
419,0,0,0,0,0,0,0,20251013,20251015
420,0,0,0,0,0,0,0,20251020,20251022
421,0,0,0,0,0,0,0,20251028,20251029
422,0,0,0,0,0,0,0,20251103,20251105
423,0,0,0,0,0,0,0,20251110,20251112
424,0,0,0,0,0,0,0,20251117,20251119
425,0,0,0,0,0,0,0,20251124,20251126
426,0,0,0,0,0,0,0,20251201,20251203
427,0,0,0,0,0,0,0,20251208,20251210
428,0,0,0,1,1,1,0,20250703,20251213
429,1,1,1,0,0,0,0,20250707,20250709
